"FEEDBACK DASHBOARD"
""
"Monthly Budget vs Actual"
"Category","Type","Budget","Actual","Variance","Status","Feedback"
"Income (Total)","Income","$5,200","$5,200","$0","✓","Great! Income is on target."
"Housing (Rent/Mortgage)","Expense","$1,560","$1,560","$0","✓","Under 30% threshold. Perfect!"
"Utilities","Expense","$200","$215","-$15","~","Slightly over. Consider energy-saving habits."
"Groceries","Expense","$600","$580","$20","✓","Under budget. Nice work!"
"Transportation","Expense","$400","$485","-$85","!","Over budget. Gas prices or rideshare?"
"Subscriptions","Expense","$100","$147","-$47","↑","⚠️ Creeping up 47%! Review for cancellations."
"401(k) Contribution","Investing","$520","$520","$0","✓","10% contribution rate. On track!"
"Taxes (Est.)","Taxes","$780","$780","$0","—","Estimated monthly tax withholding."
""
"TOTALS"
"Total Income","","$5,200","$5,200","","",""
"Total Expenses","","$3,640","$3,487","$153","",""
"Total Investing","","$520","$520","$0","",""
"Total Taxes","","$780","$780","$0","",""
""
"CASH FLOW","","","","$1,513","",""
""
"SUMMARY"
"Categories On Track","8","","","","",""
"Watch Closely","3","","","","",""
"Over Budget","2","","","","",""
""
"FORMULAS"
"Variance","=Actual - Budget","","","","",""
"Status","=IF(Variance<=0,"✓",IF(Variance/Budget<0.1,"~","!"))","","","",""
"Cash Flow","=SUMIF(Type,"Income",Actual) - SUMIF(Type,"Expense",Actual)","","","","",""
