"DEBT PAYOFF PLANNER"
""
"SUMMARY"
"Total Debt","$24,500"
"Monthly Payment","$650"
"Interest Saved (Avalanche)","$1,847"
"Debt-Free Date","March 2027"
""
"SELECT STRATEGY:","Avalanche","(Highest interest rate first)"
"","Snowball","(Smallest balance first)"
""
"DEBTS LIST"
"Priority","Debt Name","Balance","Interest Rate","Min Payment","Extra Payment","Payoff Date","Total Interest"
"1","Credit Card (Chase)","$4,500","22.99%","$135","$350","Feb 2026","$1,847"
"2","Car Loan (Auto)","$12,000","6.5%","$285","$100","Aug 2026","$2,180"
"3","Student Loan (Federal)","$8,000","4.5%","$180","$100","Jan 2027","$1,320"
"","","","","","",""
"","TOTAL","$24,500","","$600","$550","","$5,347"
""
"PAYOFF TIMELINE"
"Date","Balance","Payment","Principal","Interest","Notes"
"Aug 2025","$24,500","$650","$210","$440","Starting point"
"Sep 2025","$23,850","$1,100","$660","$440","+ extra to Credit Card"
"Oct 2025","$23,250","$1,100","$685","$415",""
"Nov 2025","$22,565","$1,100","$712","$388",""
"Dec 2025","$21,853","$1,100","$738","$362",""
"Jan 2026","$21,115","$1,100","$766","$334",""
"Feb 2026","$19,980","$1,100","$1,100","$280","★ Credit Card Paid Off!"
"Mar 2026","$18,880","$900","$700","$200","Redirect extra to Car"
"Apr 2026","$17,980","$900","$715","$185",""
"May 2026","$17,065","$900","$730","$170",""
"Jun 2026","$16,135","$900","$746","$154",""
"Jul 2026","$15,189","$900","$761","$139",""
"Aug 2026","$13,928","$900","$900","$137","★ Car Paid Off!"
"Sep 2026","$13,028","$700","$700","$100","Redirect to Student"
"Oct 2026","$12,328","$700","$708","$92",""
"Nov 2026","$11,620","$700","$715","$85",""
"Dec 2026","$10,905","$700","$723","$77",""
"Jan 2027","$9,782","$700","$730","$70",""
"Feb 2027","$8,652","$700","$738","$62",""
"Mar 2027","$7,514","$700","$745","$55",""
"Apr 2027","$6,369","$700","$753","$47",""
"May 2027","$5,216","$700","$761","$39",""
"Jun 2027","$4,055","$700","$768","$32",""
"Jul 2027","$2,887","$700","$776","$24",""
"Aug 2027","$1,711","$700","$784","$16",""
"Sep 2027","$527","$530","$515","$15",""
"Oct 2027","$0","$0","$0","$0","★ DEBT FREE!"
""
"FORMULAS"
"Avalanche Interest Saved","=SUM(Total_Interest_Min) - SUM(Total_Interest_Avalanche)"
"Min Interest","=Balance * Rate% / 12 * Months_to_Payoff"
"Payoff Date (Avalanche)","=DATE(YEAR(Start)+CEILING(MONTHS/12,1),MONTH(Start)+MOD(MONTHS,12),1)"
"
