"EMERGENCY FUND TRACKER"
""
"CURRENT STATUS"
"Current Savings","$10,476"
"Monthly Expenses","$3,492"
"Target (6 months)","$20,952"
"Progress","50%"
"Months Covered","3 months"
""
"TARGET SETTING"
"Monthly Expenses","$3,492","(Enter your monthly expenses)"
"Target Coverage","6","months"
"Target Amount","$20,952","(= Monthly Expenses × Target Coverage)"
""
"CONTRIBUTION TRACKER"
"Monthly Contribution","$500"
"Remaining to Goal","$10,476"
"Months to Goal","21","(= Remaining / Monthly Contribution)"
"Goal Date","April 2027",""
""
"RUNWAY CALCULATOR"
"If you lost your income, how long could you survive?"
"Scenario","Monthly Expenses","EF Balance","Months Covered","Status"
"Current Lifestyle","$3,492","$10,476","3","Building"
"Cut 20% (Lean)","$2,794","$10,476","3.75","Building"
"Essential Only","$2,200","$10,476","4.8","Near Target"
""
"SAVINGS LOG"
"Date","Deposit","Withdrawal","Balance","Notes"
"Jan 2025","$800","","$9,600","Initial goal set"
"Feb 2025","$200","","$9,800",""
"Mar 2025","$300","","$10,100",""
"Apr 2025","$500","","$10,600",""
"May 2025","$0","","$10,600",""
"Jun 2025","$0","-$1,000","$9,600","Car repair"
"Jul 2025","$876","","$10,476","Restored + saved"
"","","","",""
"","","","",""
"","","","",""
""
"FORMULAS"
"Target","=Monthly_Expenses × Target_Coverage"
"Remaining","=Target - Current_Savings"
"Months_to_Goal","=Remaining / Monthly_Contribution"
"Months_Covered","=EF_Balance / Monthly_Expenses"
"
